Feature_ID,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8
ASV_001,100,137,73,96,102,129,129,168
ASV_002,15,31,34,31,13,30,16,24
ASV_003,9,10,32,26,23,13,21,17
ASV_004,28,13,16,8,20,26,25,16
ASV_005,4,2,6,5,3,7,5,4
ASV_006,30,32,22,49,52,20,33,44
ASV_007,11,20,17,11,26,14,12,31
ASV_008,11,13,26,14,19,27,17,10
ASV_009,48,24,61,33,50,48,54,36
ASV_010,31,40,61,24,40,44,44,39
ASV_011,113,120,87,53,79,92,114,152
ASV_012,14,10,7,9,18,15,8,16
ASV_013,43,26,53,25,24,28,46,32
ASV_014,79,118,120,79,63,111,55,95
ASV_015,7,6,5,10,3,9,4,9
ASV_016,2,9,9,10,8,12,7,6
ASV_017,8,3,13,6,8,6,5,1
ASV_018,9,2,8,12,0,1,3,6
ASV_019,12,21,15,30,18,25,21,10
ASV_020,30,37,43,19,40,51,38,38
ASV_021,73,100,65,112,58,112,48,64
ASV_022,56,38,44,81,59,42,72,58
ASV_023,2,6,11,2,10,7,10,7
ASV_024,152,204,144,157,104,186,87,183
ASV_025,7,7,6,10,8,9,5,8
ASV_026,32,33,28,22,21,14,17,20
ASV_027,13,25,6,15,22,15,15,9
ASV_028,19,12,16,10,11,10,14,20
ASV_029,21,20,14,26,18,34,17,22
ASV_030,10,20,40,17,19,12,10,11
ASV_031,12,13,15,18,16,15,19,14
ASV_032,24,31,23,25,26,24,13,9
ASV_033,7,20,14,10,27,9,11,8
ASV_034,8,16,10,6,10,21,2,7
ASV_035,1,5,3,3,4,5,4,4
ASV_036,20,12,10,10,6,17,22,9
ASV_037,6,11,9,11,12,13,8,9
ASV_038,426,472,315,535,340,504,390,277
ASV_039,2,3,4,5,0,7,5,7
ASV_040,25,10,23,34,35,36,21,27
ASV_041,5,1,4,6,4,3,3,7
ASV_042,4,4,3,1,6,1,4,3
ASV_043,10,14,31,23,24,24,28,14
ASV_044,7,9,5,8,11,10,8,8
ASV_045,21,20,13,11,22,17,32,25
ASV_046,17,8,18,12,6,13,14,12
ASV_047,5,13,13,7,12,6,9,15
ASV_048,5,2,2,2,1,2,1,1
ASV_049,2,6,2,2,1,2,12,2
ASV_050,28,40,35,17,26,33,16,21
ASV_051,41,25,33,50,22,31,54,42
ASV_052,11,8,6,14,18,9,18,12
ASV_053,13,25,24,11,11,22,22,24
ASV_054,59,58,63,86,70,46,52,92
ASV_055,120,87,100,101,60,121,116,121
ASV_056,2,5,7,5,5,10,8,7
ASV_057,17,17,22,16,8,16,24,20
ASV_058,68,51,102,62,98,52,55,80
ASV_059,14,7,12,11,8,11,6,12
ASV_060,13,17,15,28,16,20,21,10
