Feature_ID,Taxon,Confidence
ASV_001,d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae,0.9433
ASV_002,d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae,0.8824
ASV_003,d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae,0.8823
ASV_004,d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Marasmiaceae,0.908
ASV_005,d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae,0.9904
ASV_006,d__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae,0.9934
ASV_007,d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae,0.9602
ASV_008,d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae,0.9593
ASV_009,d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Marasmiaceae,0.9298
ASV_010,d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae,0.8503
ASV_011,d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae,0.9407
ASV_012,d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae,0.9747
ASV_013,d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae,0.962
ASV_014,d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae,0.9175
ASV_015,d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae,0.9298
ASV_016,d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae,0.9301
ASV_017,d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae,0.8502
